course_title,price,content_duration,content_dutation_minutes,duration_minPerPrice
TRADER BOT: Introdução à Linguagem MQL5,20.0,70.0,4200.0,210.0
The Complete Figure Drawing Course HD,50.0,78.5,4710.0,94.2
Modern E-Commerce Store In php & mysqli With Bootstrap,50.0,66.5,3990.0,79.8
Discover How to Draw and paint Comics,65.0,62.0,3720.0,57.23076923076923
Financial Risk Manager (FRM) Certification: Level II,50.0,47.0,2820.0,56.4
Practical Accounts Training A,35.0,31.5,1890.0,54.0
Bookkeeping Practicals with Software,35.0,31.5,1890.0,54.0
The Original Complete Web Developer Course.,20.0,18.0,1080.0,54.0
CAIIB Advanced Bank Management (Part I),25.0,20.5,1230.0,49.2
Introduction to Modern Programming with PHP,20.0,16.0,960.0,48.0
The Complete Web Developer Course - Build 20 Websites,20.0,15.5,930.0,46.5
Gibson's Learn & Master Guitar,50.0,38.0,2280.0,45.6
Curso Blender 3D  do Básico ao Avançado ,20.0,14.5,870.0,43.5
Anatomy for Figure Drawing: Mastering the Human Figure,95.0,68.5,4110.0,43.26315789473684
Diseño Gráfico fácil y rápido.,20.0,13.5,810.0,40.5
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",20.0,13.5,810.0,40.5
B Com Accountancy I (Paper ECO 02 IGNOU),50.0,31.5,1890.0,37.8
Complete Website & CMS in PHP & MySQL From Scratch!,20.0,12.5,750.0,37.5
Introduction to Bookkeeping (Accounting),20.0,12.0,720.0,36.0
Corel Draw x7,20.0,12.0,720.0,36.0
Become a Professional Graphic Designer,35.0,20.5,1230.0,35.142857142857146
Introduction to Accounting: The Language of Business,20.0,11.5,690.0,34.5
Learn to build 20 websites and build 14 iOS9 apps with swift,40.0,22.5,1350.0,33.75
HTML and CSS: A Guide to Web Design,25.0,14.0,840.0,33.6
Introductory JavaScript Made Easy Training Tutorial,20.0,11.0,660.0,33.0
Learn and Understand React,30.0,16.5,990.0,33.0
The Full Stack Web Development,60.0,33.0,1980.0,33.0
The Day Trader: Learn to Trade The Stock Market and Forex,20.0,10.5,630.0,31.5
Mastering Photoshop Elements 13 Made Easy Training Tutorial,20.0,10.5,630.0,31.5
"Master JavaScript Programming, 3 Projects Included !!",20.0,10.5,630.0,31.5
Análise de Concessão de Crédito,20.0,10.5,630.0,31.5
Ultimate Blues Guitar Beginner Lessons,20.0,10.5,630.0,31.5
Complete GST Course & Certification - Grow Your CA Practice,75.0,39.0,2340.0,31.2
Mastering Photoshop: From Beginner to Industry Professional,25.0,12.5,750.0,30.0
Become a Bootstrap Expert: Build 20 Layouts!,35.0,17.5,1050.0,30.0
How to Create A Website: An HTML Tutorial and CSS Tutorial,65.0,32.5,1950.0,30.0
Curso de Trading práctico basado en casos reales,20.0,10.0,600.0,30.0
Chartered Financial Analyst (CFA) - Level 1 - FRA,30.0,14.5,870.0,29.0
Financial Risk Manager (FRM) Certification: Level I,50.0,24.0,1440.0,28.8
Professional Risk Manager (PRM) Certification: Level 1,50.0,24.0,1440.0,28.8
Adobe Illustrator CC,20.0,9.5,570.0,28.5
Play Guitar and Understand Music Quick & Easy in 28 Days!,20.0,9.5,570.0,28.5
สร้างงานกราฟฟิคแอพพลิเคชั่นมือถือด้วย Adobe Illustrator,20.0,9.5,570.0,28.5
Professional Rails Code Along,40.0,19.0,1140.0,28.5
48 Logo Designs and Techniques,20.0,9.0,540.0,27.0
Bootstrap Essential Training - Create Your Very Own Website,20.0,9.0,540.0,27.0
Accounting Is Easy (for Beginners),20.0,9.0,540.0,27.0
Complete RESPONSIVE Website Design with HTML5 & CSS3,20.0,9.0,540.0,27.0
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,20.0,8.5,510.0,25.5
15 Mandamientos para ganar dinero en Bolsa,20.0,8.5,510.0,25.5
jQuery UI In Depth,25.0,10.5,630.0,25.2
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150.0,62.0,3720.0,24.8
Easy Steps To Become A Photoshop Expert,20.0,8.0,480.0,24.0
Piano Lessons for the R&B Fan,20.0,8.0,480.0,24.0
Learn to Raise the Funds You Need via Crowdfunding,20.0,8.0,480.0,24.0
Try Django 1.9 | Build a Blog and Learn Python's #1 Library,50.0,20.0,1200.0,24.0
Professional WordPress Theme Development For 2017,20.0,8.0,480.0,24.0
Conviértete en un experto de photoshop cc naked series,30.0,12.0,720.0,24.0
Trade for a Living,20.0,8.0,480.0,24.0
CFP - Introduction to Financial Planning,30.0,12.0,720.0,24.0
Adobe Illustrator CC for beginners,20.0,8.0,480.0,24.0
Aprenda  a Investir,20.0,8.0,480.0,24.0
"Photoshop, Illustrator, InDesign & Graphic Design Principles",30.0,12.0,720.0,24.0
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,35.0,14.0,840.0,24.0
Wordpress Theme Development for Beginners,20.0,8.0,480.0,24.0
Angular 2 From The Ground Up,30.0,11.5,690.0,23.0
Gospel Piano Essentials,30.0,11.5,690.0,23.0
Projects in PHP and MySQL,60.0,23.0,1380.0,23.0
The Complete Web Development Course -  Build 15 Projects,200.0,76.5,4590.0,22.95
Financial Management - A Complete Study,190.0,71.5,4290.0,22.57894736842105
Stock Market Mastery,20.0,7.5,450.0,22.5
NPV and IRR Techniques for CA / CFA / CPA Exams,20.0,7.5,450.0,22.5
Autodesk Inventor 2016 : Complete Guide ,20.0,7.5,450.0,22.5
Bootstrap 4 Responsive Web Design and Development,20.0,7.5,450.0,22.5
Profit and Loss Account for bankers and credit analysts,20.0,7.5,450.0,22.5
WordPress Theme Academy with Bootstrap,20.0,7.5,450.0,22.5
The Complete HTML5 and CSS3 Course,40.0,15.0,900.0,22.5
Full-Stack Web Apps with Meteor and React,85.0,31.5,1890.0,22.235294117647058
Create a REAL Social Network like Facebook in PHP + MySQL,45.0,16.5,990.0,22.0
Projects in AngularJS - Learn by building 10 Projects,40.0,14.5,870.0,21.75
X theme for WordPress: Responsive web design without code!,20.0,7.0,420.0,21.0
Intro to Illustrator,20.0,7.0,420.0,21.0
"Working Capital assessment for bankers, credit analysts",20.0,7.0,420.0,21.0
The Intelligent Investor,30.0,10.5,630.0,21.0
CFA Corporate Finance Level 2,50.0,17.5,1050.0,21.0
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20.0,7.0,420.0,21.0
