course_title,num_lectures
Ultimate Investment Banking Course,51.0
Complete GST Course & Certification - Grow Your CA Practice,274.0
Financial Modeling for Business Analysts and Consultants,51.0
Beginner to Pro - Financial Analysis in Excel 2017,36.0
How To Maximize Your Profits Trading Options,26.0
Trading Penny Stocks: A Guide for All Levels In 2017,25.0
Investing And Trading For Beginners: Mastering Price Charts,26.0
"Trading Stock Chart Patterns For Immediate, Explosive Gains",23.0
Options Trading 3 : Advanced Stock Profit and Success Method,38.0
Forex Trading Secrets of the Pros With Amazon's AWS,76.0
Trading Options With Money Flow,17.0
Financial Management Risk and Return For Securities,19.0
Forex Trading Course: Work Smarter Not Harder Proven Results,16.0
Python Algo Trading: Sentiment Trading with News,42.0
Short Selling: Learn To Sell Stocks Before The Fall,19.0
Basic Technical Analysis: Learn the structure of the market,16.0
The Complete Chart Pattern Trading Course: A Proven Approach,52.0
7 Deadly Mistakes of Investing that Will Slash Your Profits!,23.0
Winning Forex Trading with Live Forex Trading Examples,25.0
Forex Traders - Create Your First Trading Robot. No Coding!,39.0
Create A Business From Home Trading Stocks Today In 2017,16.0
Introduction to Accounting : Mastering Financial Statements,23.0
The Complete Ethereum Course: Get .01 Ether In Your Wallet,40.0
Beginner to Pro in PowerPoint: Complete PowerPoint Training,50.0
Investing 101: The Complete Online Investing Course,42.0
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,25.0
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),81.0
Forex Trading: Your Complete Guide to Get Started Like a Pro,37.0
Python Algo Stock Trading: Automate Your Trading!,41.0
THE Forex Robot: Incredible ROI (Robot Included),35.0
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,80.0
Mastering High Probability Iron Condor Options Trading,22.0
The Complete Short Course on Ethereum,28.0
Options Trading Stocks: Proven Toolbox For Financial Success,68.0
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,52.0
"Introduction to Finance, Accounting, Modeling and Valuation",61.0
Beginner to Pro in Excel: Financial Modeling and Valuation,138.0
The Complete Investment Banking Course 2017,110.0
The Complete Financial Analyst Course 2017,174.0
Python for Finance: Investment Fundamentals & Data Analytics,103.0
Financial Modeling for Startups & Small Businesses,79.0
Options Trading - How to Win with Weekly Options,25.0
Black Algo Trading: Build Your Trading Robot,227.0
Accounting & Financial Statement Analysis: Complete Training,43.0
Cryptocurrency Trading: Complete Guide To Trading Altcoins,35.0
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,42.0
Three Steps Trading - Live Trading - Real Account,46.0
Option Trading for Rookies:  Understand Options Completely,62.0
How I Learned Stock Trading (and How You Can Too),53.0
Learn to Trade for Profit: Find and Trade Winning Stocks,77.0
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,23.0
Four Fundamentals of Financial Planning,20.0
Options Trading - Calendar Spread Course for Every Trader,17.0
Dividend Investing: Build Your Portfolio for a Better Future,47.0
Learn Accounting. Understand Business.,33.0
How to Buy Cheap Options - Options Trading Pricing Model,19.0
Excel Crash Course: Master Excel for Financial Analysis,40.0
"Comprehensive Guide to Financial Markets, Investing &Trading",79.0
Stock Trading Ninja: Complete System For Trading Success,38.0
Hedge and Mutual Fund Careers: The Complete Guide,102.0
Algorithmic Trading In Forex: Create Your First Forex Robot!,40.0
The Power Modeling Bootcamp: Advanced Excel in 10 Days,76.0
Options Trading Basics (3-Course Bundle),45.0
How to Win 97% of Your Options Trades,26.0
How I Make Consistent Returns Trading Options,26.0
"Forex Strategies: Kelly Criterion, Larry Williams and more!",32.0
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",28.0
Options Trading Introduction: Day Trade Stock Options,30.0
Forex Trading -  Learn to Trade Forex Like the Banks,23.0
Learn to Trade for Profit:Trading with Japanese Candlesticks,45.0
The Most Powerful Options Spread Trading Front Ratio Spread,18.0
What Finance Job is for You? Explanation of 14 Finance Roles,60.0
Trading for Beginners - Intermediate Level,39.0
Start Trading Stocks Using Technical Analysis!,45.0
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,54.0
VPS for Forex Trading - Protect Your Forex Robots,24.0
Introduction to Accounting: The Language of Business,134.0
Basic Excel for Basic Bookkeeping and Accounting,33.0
Trading Options For Consistent Returns: Calendar Spreads,20.0
The Complete Value Investing Course: A Proven Approach,49.0
FOREX Trading with Price Action,19.0
Forex Trading - Advanced Fundamental Analysis,49.0
Learn How To Successfully Trade Stocks: In 5 Simple Steps,108.0
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,57.0
Bitcoin Profits for Beginners,30.0
Trend Traders Club: How To Find And Trade Fast Moving Trends,60.0
Introduction to Financial Statement Analysis,25.0
Basics of Economics (College Level),20.0
Accounting for Beginners : Learn Basics in under 1 Hour,20.0
Straddle Options Trading - Profit in Any Market Direction,19.0
Fundamentals of Forex Trading,23.0
"Binary Options: Trading Strategies, 90% Accuracy and Signals",24.0
Website Investing 101 - Buying & Selling Online Businesses,51.0
Practical Accounts & Bookkeeping Automated Overview ,30.0
Live Account - ETF Trading System - Hacking The Stock Market,16.0
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,462.0
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,25.0
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",29.0
Forex SOS Course: Trading Tweaks And Working Forex Strategy,59.0
